"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.38747276458","175.334901401951","168.770831965808","163.293105588603","164.569153093089","145.073177713897","139.045679371545","134.302158273381","133.969043670536","133.642516921534","146.500479386385","143.963133640553","142.960905789361","145.889295889296","140.062597809077","138.607151203552","151.599474145486","147.674674895305","151.114477385847","149.609951507485","145.24699045247","144.470240607851","146.048820852296","","",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928995","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","103.10920283776","116.36254161986","91.5855106689597","99.2229940825081","99.822209700771","81.3934554182836","100.069957848297","89.3648737730075","81.3244846219533","88.7796609855522","81.5868017044665","74.7439088952975","67.1959247512852","55.1255265979591","47.6590554256105","51.2368807956764","","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.547109454858","150.335794690093","105.301742600149","103.901226814948","103.579924362095","106.590962129525","94.6251593320477","108.060067893978","121.36470790564","122.446142344145","104.123629959119","99.9825078537909","91.8000986064676","86.8119307833605","79.3329275092697","62.8885207850511","53.3701552785467","52.256821448818","","",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.6373048780561","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.895427261101","45.4255233483672","48.1374835354003","51.0110717547709","63.4540743986735","66.4910464537142","68.5250379172273","67.0206085093238","67.047228208342","70.8723282677903","74.2670817296107","83.2021007868277","77.4517486294968","75.0948185576509","76.5433552386804","81.2185639373984","76.5102010189022","75.8737327762736","75.4078655927631","71.8010303683204","74.8098562184715","78.1613119781439","77.0824018603293","",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","58.8643408772162","59.2254899890389","62.0340389824182","81.0148734722796","73.8799927242756","81.807431945439","76.1124783414256","80.2979427241516","77.8196110466383","80.1689560148461","84.7907747260973","86.42281047328","82.0010485256787","74.4009484228432","70.9831263693297","64.0306298140344","56.5112091550972","58.9102622084756","60.635010663282","65.8782206831158","66.1064304049497","69.0229353519929","64.2122147436592","60.4268042976587","58.9043770351786","61.7527210572966","61.4185260698267","68.1669132104566","66.2734881518116","66.3204407456325","70.7046304691696","72.3515387832146","73.685204132942","79.9591735223756","85.106968275219","89.1682720062698","89.6685234473992","93.553623635244","97.9800823373061","89.9566955824082","89.0434217233862","92.312646438565","94.1328748587986","94.4276712735938","93.3696422050108","89.0118560859773","82.7981570413391","86.7741978034784","86.9327801310163","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.55287164912","119.470669577786","136.798152865771","148.513544025723","153.461944358373","143.877531844201","151.665953575846","164.249347960724","165.275953290011","168.492307775439","175.221307567909","176.747648042171","178.666803902654","161.839789981026","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.492660372918","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588892","14.730980586353","16.2231514477839","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2233319634767","30.7004460241825","",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.429364602262","86.1148570667578","79.2295601199241","78.5477450545048","71.8424518815414","70.5604791440404","73.9185192676351","71.6171966314838","75.9434489538388","82.1876711722522","75.0372101843166","72.0389566828983","62.6091930629355","58.3364456815795","55.7028649181459","58.4788698681044","66.1473098093357","71.1108704159213","75.9667433930304","76.5561957927212","75.6116848388122","71.5932653468932","75.9178800280663","86.8301413895134","91.2889618836494","",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.533073929961","205.692599620493","200.5859375","221.073558648111","227.620967741935","216.538461538462","247.779751332149","160.176991150442","156.423611111111","155.749128919861","174.689440993789","171.294851794072","172.118380062305","164.145234493192","162.883435582822","162.458471760797","168.238993710692","",
"Antigua and Barbuda","ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","85.6332166076156","101.915833065085","132.967334810802","128.948074192257","142.106417637802","146.839641136599","115.974521767057","133.021881885389","140.65912372213","171.930627179148","157.226913868377","137.80078694211","143.540480568302","149.272131820549","151.074063796822","158.973000516075","156.544805710029","145.629808203147","145.602178284139","137.264769638368","135.403263117099","131.319408132489","130.795256680996","116.281789378355","116.380689775623","110.764539900541","116.56601895806","122.481460178376","120.133080113112","118.113791647384","115.423207450464","115.283599454991","103.581582371424","104.706518479827","103.646717367383","103.780839295525","107.185710568637","106.689427077777","95.2057205872981","90.1854320172838","","","",
"Australia","AUS","Trade (% of GDP)","NE.TRD.GNFS.ZS","27.0496744634676","27.4219284248917","26.5679540592276","26.8329514684441","28.6959800179085","28.4813679347122","28.0556924593396","26.7703190627072","26.7768368361504","25.2828227236593","26.1919622262625","25.5916058937342","24.7931840661811","25.1693569461475","26.3621582160871","29.01009022176","26.9000648773338","28.66956720861","28.2150992670536","29.6651403610851","32.3441672927996","31.6487229036032","30.3671689045293","29.2148849897175","28.5821406143089","32.5617520385408","33.0890716261912","32.5850168703711","32.6345364166847","32.130350909175","32.2202275569202","32.2555117521316","33.1102641795285","35.4665193170798","36.5261284317788","37.8015516603413","38.3323319414935","38.0748112251054","40.0704305582242","39.1346484106034","41.0290111758291","44.3652083634724","41.5572758742756","40.2961446264483","37.1207343685942","39.2711826369216","41.6042270907138","42.0514396834877","42.8703326982714","45.7979042094362","40.6496717288741","41.9067330593482","43.2103466719308","41.2084303462784","42.506490337998","41.4943730799132","40.7776414241104","41.7700001190728","43.1922611196402","",
"Austria","AUT","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","54.86039174788","54.3804711459358","54.2960192212936","54.4568199360651","59.5677317780406","56.5991341566834","59.9162816321086","60.2775956821567","59.6679877608595","63.3172191333532","66.8250060486283","68.396550301208","64.1171139234959","62.4721849872476","66.5750060351522","70.0831614762495","64.014597212162","62.8537227269269","66.562550344062","70.5383587945509","71.4883694819226","70.0484058928522","67.6301674653756","63.2650504915528","65.9870933378821","68.25660110272","70.0836711206827","74.8676902155828","76.9271493915785","78.2601403439716","85.3604956179232","87.5366647639352","86.9481679996606","86.3873824162825","90.7923456929297","94.0338056833054","98.0883112053436","100.733254061926","102.073682731706","87.0622309742796","99.0197962369563","105.102788629725","105.152177427838","104.066414086373","103.503535251069","102.42731538918","101.068685446176","104.773176317947","107.790261820777","",
"Azerbaijan","AZE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0832196452933","86.8637724550898","140.799983402834","133.490445859873","55.3493194555644","85.8937107507732","80.8497401741931","82.0789665326283","77.2278091030634","69.8259648751026","78.5485682796041","78.8151854917601","92.8164948453608","107.551948506262","121.507115894117","115.841884607706","105.262399846369","96.6418081486575","89.2428968637573","74.7440416836369","74.9859884610856","80.5080450059522","78.263069540422","74.6758447629851","69.4832251953347","72.6013743998264","90.0773187345677","90.4023156823216","92.0112485149855","",
"Burundi","BDI","Trade (% of GDP)","NE.TRD.GNFS.ZS","25.8928574435131","27.5862079836929","29.5081958920413","21.8045114655597","26.1744966082609","22.8822529667839","23.7683401950761","22.6863662585732","23.662507797879","21.7532896713333","22.3097965544679","22.6074300410872","26.8094131157561","24.3489043362581","25.2873351845382","27.2774163190328","30.379360630475","34.8870291528506","31.9340935865245","36.8847861616734","32.1014455985716","31.1810462057784","37.1194209891435","33.7933398239583","35.056316693605","31.8135215539913","34.0388589004453","35.4835346628137","38.5439533047301","32.6893093927341","35.6481395516768","38.4225604772107","38.2261314127976","36.5429966027968","38.753523581475","40.2046264145201","21.5737222729","24.2753792298716","27.4400299850075","23.5397452788757","22.5537244890286","20.9640456147222","21.6738294069666","27.3763120796107","31.5761181816532","35.1","42.4","38.7999987731993","47.1999995814015","35.8000035591914","39.5000053977394","43.0000028373483","43.6999890071038","46.6000131147541","41.7576921762705","32.5419541361693","31.7442237764751","34.3962372025288","38.2647398598389","",
"Belgium","BEL","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","87.7273029187755","85.5840822641459","85.214439887994","94.1440940214668","105.271078311365","91.5237494570825","96.815757553448","95.6775231460922","92.3126050276645","101.572970422771","103.05544757343","110.221352477627","117.925348597816","120.39556296581","128.230735622583","123.876985444717","112.327024392648","109.91910031618","116.422946942352","124.936932430431","121.467850864546","118.590137952893","115.069287793002","109.012737260877","113.232299662906","116.378567821327","119.212775757383","125.68894005618","124.709122626318","125.169990540949","142.230135067034","139.576839834619","136.085149488081","132.715552833888","136.918405348432","144.529050669983","149.567509299511","152.468446875303","161.088447790447","135.406040531897","149.997673074386","161.493723664633","160.746030229324","157.850845041743","158.783215919076","154.192546509323","157.559957999136","163.229187599652","165.314651522183","",
